CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Annual_Income,Cluster,Cluster_Name,Hierarchical_Cluster,DBSCAN_Cluster
1,Male,19,15,39,15000,4,Price-Sensitive Segment,4,0
2,Male,21,15,81,15000,2,High-Engagement Low-Income,3,0
3,Female,20,16,6,16000,4,Price-Sensitive Segment,4,0
4,Female,23,16,77,16000,2,High-Engagement Low-Income,3,0
5,Female,31,17,40,17000,4,Price-Sensitive Segment,4,0
6,Female,22,17,76,17000,2,High-Engagement Low-Income,3,0
7,Female,35,18,6,18000,4,Price-Sensitive Segment,4,0
8,Female,23,18,94,18000,2,High-Engagement Low-Income,3,0
9,Male,64,19,3,19000,4,Price-Sensitive Segment,4,0
10,Female,30,19,72,19000,2,High-Engagement Low-Income,3,0
11,Male,67,19,14,19000,4,Price-Sensitive Segment,4,0
12,Female,35,19,99,19000,2,High-Engagement Low-Income,3,0
13,Female,58,20,15,20000,4,Price-Sensitive Segment,4,0
14,Female,24,20,77,20000,2,High-Engagement Low-Income,3,0
15,Male,37,20,13,20000,4,Price-Sensitive Segment,4,0
16,Male,22,20,79,20000,2,High-Engagement Low-Income,3,0
17,Female,35,21,35,21000,4,Price-Sensitive Segment,4,0
18,Male,20,21,66,21000,2,High-Engagement Low-Income,3,0
19,Male,52,23,29,23000,4,Price-Sensitive Segment,4,0
20,Female,35,23,98,23000,2,High-Engagement Low-Income,3,0
21,Male,35,24,35,24000,4,Price-Sensitive Segment,4,0
22,Male,25,24,73,24000,2,High-Engagement Low-Income,3,0
23,Female,46,25,5,25000,4,Price-Sensitive Segment,4,0
24,Male,31,25,73,25000,2,High-Engagement Low-Income,3,0
25,Female,54,28,14,28000,4,Price-Sensitive Segment,4,0
26,Male,29,28,82,28000,2,High-Engagement Low-Income,3,0
27,Female,45,28,32,28000,4,Price-Sensitive Segment,4,0
28,Male,35,28,61,28000,2,High-Engagement Low-Income,3,0
29,Female,40,29,31,29000,4,Price-Sensitive Segment,4,0
30,Female,23,29,87,29000,2,High-Engagement Low-Income,3,0
31,Male,60,30,4,30000,4,Price-Sensitive Segment,4,0
32,Female,21,30,73,30000,2,High-Engagement Low-Income,3,0
33,Male,53,33,4,33000,4,Price-Sensitive Segment,4,0
34,Male,18,33,92,33000,2,High-Engagement Low-Income,3,0
35,Female,49,33,14,33000,4,Price-Sensitive Segment,4,0
