Email List: Core Customer Base
Total Recipients: 81
============================================================

CustomerID,Gender,Age,Income,SpendingScore
44,Female,31,$39,000,61
47,Female,50,$40,000,55
48,Female,27,$40,000,47
49,Female,29,$40,000,42
50,Female,31,$40,000,42
51,Female,49,$42,000,52
52,Male,33,$42,000,60
53,Female,31,$43,000,54
54,Male,59,$43,000,60
55,Female,50,$43,000,45
56,Male,47,$43,000,41
57,Female,51,$44,000,50
58,Male,69,$44,000,46
59,Female,27,$46,000,51
60,Male,53,$46,000,46
61,Male,70,$46,000,56
62,Male,19,$46,000,55
63,Female,67,$47,000,52
64,Female,54,$47,000,59
65,Male,63,$48,000,51
66,Male,18,$48,000,59
67,Female,43,$48,000,50
68,Female,68,$48,000,48
69,Male,19,$48,000,59
70,Female,32,$48,000,47
71,Male,70,$49,000,55
72,Female,47,$49,000,42
73,Female,60,$50,000,49
74,Female,60,$50,000,56
75,Male,59,$54,000,47
76,Male,26,$54,000,54
77,Female,45,$54,000,53
78,Male,40,$54,000,48
79,Female,23,$54,000,52
80,Female,49,$54,000,42
81,Male,57,$54,000,51
82,Male,38,$54,000,55
83,Male,67,$54,000,41
84,Female,46,$54,000,44
85,Female,21,$54,000,57
86,Male,48,$54,000,46
87,Female,55,$57,000,58
88,Female,22,$57,000,55
89,Female,34,$58,000,60
90,Female,50,$58,000,46
91,Female,68,$59,000,55
92,Male,18,$59,000,41
93,Male,48,$60,000,49
94,Female,40,$60,000,40
95,Female,32,$60,000,42
96,Male,24,$60,000,52
97,Female,47,$60,000,47
98,Female,27,$60,000,50
99,Male,48,$61,000,42
100,Male,20,$61,000,49
101,Female,23,$62,000,41
102,Female,49,$62,000,48
103,Male,67,$62,000,59
104,Male,26,$62,000,55
105,Male,49,$62,000,56
106,Female,21,$62,000,42
107,Female,66,$63,000,50
108,Male,54,$63,000,46
109,Male,68,$63,000,43
110,Male,66,$63,000,48
111,Male,65,$63,000,52
112,Female,19,$63,000,54
113,Female,38,$64,000,42
114,Male,19,$64,000,46
115,Female,18,$65,000,48
116,Female,19,$65,000,50
117,Female,63,$65,000,43
118,Female,49,$65,000,59
119,Female,51,$67,000,43
120,Female,50,$67,000,57
121,Male,27,$67,000,56
122,Female,38,$67,000,40
123,Female,40,$69,000,58
127,Male,43,$71,000,35
133,Female,25,$72,000,34
143,Female,28,$76,000,40
