CustomerID,Gender,Age,Annual_Income,Spending_Score,Cluster,Cluster_Name
125,Female,23,70000,29,3,Low-Engagement High-Income
129,Male,59,71000,11,3,Low-Engagement High-Income
131,Male,47,71000,9,3,Low-Engagement High-Income
135,Male,20,73000,5,3,Low-Engagement High-Income
137,Female,44,73000,7,3,Low-Engagement High-Income
139,Male,19,74000,10,3,Low-Engagement High-Income
141,Female,57,75000,5,3,Low-Engagement High-Income
145,Male,25,77000,12,3,Low-Engagement High-Income
147,Male,48,77000,36,3,Low-Engagement High-Income
149,Female,34,78000,22,3,Low-Engagement High-Income
151,Male,43,78000,17,3,Low-Engagement High-Income
153,Female,44,78000,20,3,Low-Engagement High-Income
155,Female,47,78000,16,3,Low-Engagement High-Income
157,Male,37,78000,1,3,Low-Engagement High-Income
159,Male,34,78000,1,3,Low-Engagement High-Income
161,Female,56,79000,35,3,Low-Engagement High-Income
163,Male,19,81000,5,3,Low-Engagement High-Income
165,Male,50,85000,26,3,Low-Engagement High-Income
167,Male,42,86000,20,3,Low-Engagement High-Income
169,Female,36,87000,27,3,Low-Engagement High-Income
171,Male,40,87000,13,3,Low-Engagement High-Income
173,Male,36,87000,10,3,Low-Engagement High-Income
175,Female,52,88000,13,3,Low-Engagement High-Income
177,Male,58,88000,15,3,Low-Engagement High-Income
179,Male,59,93000,14,3,Low-Engagement High-Income
181,Female,37,97000,32,3,Low-Engagement High-Income
183,Male,46,98000,15,3,Low-Engagement High-Income
185,Female,41,99000,39,3,Low-Engagement High-Income
187,Female,54,101000,24,3,Low-Engagement High-Income
189,Female,41,103000,17,3,Low-Engagement High-Income
191,Female,34,103000,23,3,Low-Engagement High-Income
193,Male,33,113000,8,3,Low-Engagement High-Income
195,Female,47,120000,16,3,Low-Engagement High-Income
197,Female,45,126000,28,3,Low-Engagement High-Income
199,Male,32,137000,18,3,Low-Engagement High-Income
